f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
26351,21.722127437591553,18.101330995559692,3.54282808303833,100,100,100000,8,4,1
35566,28.281996965408325,21.780689239501953,6.424288034439087,200,200,100000,8,4,1
41659,37.64579224586487,26.121886491775513,11.44706916809082,300,300,100000,8,4,1
46264,46.45857524871826,29.722232818603516,16.658355712890625,400,400,100000,8,4,1
49977,56.77320909500122,34.172019720077515,22.523833513259888,500,500,100000,8,4,1
26421,21.486811637878418,18.01192283630371,3.3964099884033203,100,100,100000,8,4,1
35499,28.678650856018066,21.814433336257935,6.787649631500244,200,200,100000,8,4,1
41586,37.589430809020996,26.376906633377075,11.13642954826355,300,300,100000,8,4,1
46154,47.14947509765625,30.394155025482178,16.678608894348145,400,400,100000,8,4,1
49989,56.6717734336853,35.22390389442444,21.371350049972534,500,500,100000,8,4,1
26369,21.55614399909973,18.03247880935669,3.444492816925049,100,100,100000,8,4,1
35565,28.969844102859497,22.056474685668945,6.835235834121704,200,200,100000,8,4,1
41592,36.62758779525757,25.560367107391357,10.989514350891113,300,300,100000,8,4,1
46156,49.38480019569397,32.61644101142883,16.691502809524536,400,400,100000,8,4,1
49906,58.441845417022705,35.639986991882324,22.72481656074524,500,500,100000,8,4,1
26369,21.31909728050232,17.791483402252197,3.4498867988586426,100,100,100000,8,4,1
35605,28.802680253982544,21.91666340827942,6.808940649032593,200,200,100000,8,4,1
41627,38.75732398033142,27.4297456741333,11.249802350997925,300,300,100000,8,4,1
46236,49.49723029136658,32.57356095314026,16.846275329589844,400,400,100000,8,4,1
49994,56.003154277801514,33.23157048225403,22.693886280059814,500,500,100000,8,4,1
26351,22.236653327941895,18.67658805847168,3.4828011989593506,100,100,100000,8,4,1
35508,28.60199546813965,21.86980128288269,6.655630826950073,200,200,100000,8,4,1
41665,37.76154041290283,26.65907096862793,11.025258779525757,300,300,100000,8,4,1
46278,48.529430627822876,31.801805019378662,16.65061116218567,400,400,100000,8,4,1
49970,56.90785789489746,34.53318953514099,22.297993183135986,500,500,100000,8,4,1
