f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
26450,396.1745545864105,0,0,100,100,100000,8,4,1
35622,520.109760761261,0,0,200,200,100000,8,4,1
41722,678.298348903656,0,0,300,300,100000,8,4,1
46287,857.8184776306152,0,0,400,400,100000,8,4,1
50041,1068.8312728404999,0,0,500,500,100000,8,4,1
26447,395.76700258255005,0,0,100,100,100000,8,4,1
35640,519.7982158660889,0,0,200,200,100000,8,4,1
41722,679.2731614112854,0,0,300,300,100000,8,4,1
46298,860.9647498130798,0,0,400,400,100000,8,4,1
50044,1077.3430006504059,0,0,500,500,100000,8,4,1
26450,394.63799023628235,0,0,100,100,100000,8,4,1
35622,519.5040550231934,0,0,200,200,100000,8,4,1
41719,679.720757484436,0,0,300,300,100000,8,4,1
46319,861.2451617717743,0,0,400,400,100000,8,4,1
50036,1075.096313714981,0,0,500,500,100000,8,4,1
26447,402.07759714126587,0,0,100,100,100000,8,4,1
35640,523.3835501670837,0,0,200,200,100000,8,4,1
41722,685.6381595134735,0,0,300,300,100000,8,4,1
46317,865.078882932663,0,0,400,400,100000,8,4,1
50049,1075.6530857086182,0,0,500,500,100000,8,4,1
26471,398.015549659729,0,0,100,100,100000,8,4,1
35640,520.8289513587952,0,0,200,200,100000,8,4,1
41701,683.9067509174347,0,0,300,300,100000,8,4,1
46320,865.9418869018555,0,0,400,400,100000,8,4,1
50030,1071.6640839576721,0,0,500,500,100000,8,4,1
