f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
9159.109387,37.78313708305359,0,0,7,100,10000,8,4,1
9166.789035000002,54.6533727645874,0,0,7,200,10000,8,4,1
9183.73259,72.15305066108704,0,0,9,300,10000,8,4,1
9204.919893,87.72220206260681,0,0,12,400,10000,8,4,1
9213.382203000001,99.2680401802063,0,0,13,500,10000,8,4,1
9147.094765,37.80950140953064,0,0,5,100,10000,8,4,1
9176.530277000002,55.69745635986328,0,0,10,200,10000,8,4,1
9189.118163000001,72.4155421257019,0,0,10,300,10000,8,4,1
9208.296076999999,88.52246975898743,0,0,13,400,10000,8,4,1
9212.081491,99.87313389778137,0,0,14,500,10000,8,4,1
9142.403177,37.41576623916626,0,0,6,100,10000,8,4,1
9166.594648,56.419129371643066,0,0,7,200,10000,8,4,1
9193.773733,72.61567687988281,0,0,11,300,10000,8,4,1
9199.753815,88.0260317325592,0,0,11,400,10000,8,4,1
9213.717619000001,99.23380374908447,0,0,13,500,10000,8,4,1
9153.195184,36.60521578788757,0,0,6,100,10000,8,4,1
9168.653608,55.00779962539673,0,0,8,200,10000,8,4,1
9187.149348,72.2061140537262,0,0,10,300,10000,8,4,1
9203.133919,87.35311698913574,0,0,13,400,10000,8,4,1
9212.668683,99.55962777137756,0,0,15,500,10000,8,4,1
9153.192148,37.39877200126648,0,0,6,100,10000,8,4,1
9164.082511,56.31688594818115,0,0,7,200,10000,8,4,1
9191.629067,71.97043251991272,0,0,10,300,10000,8,4,1
9204.030794,87.58072233200073,0,0,13,400,10000,8,4,1
9212.471593,99.01561641693115,0,0,14,500,10000,8,4,1
