f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
278.28856383015614,5.99463963508606,4.73610258102417,1.2380456924438477,100,100,26588,8,4,1
451.679962611745,8.107710123062134,5.855899333953857,2.2311389446258545,200,200,26588,8,4,1
601.9093103940468,12.611745834350586,8.602225542068481,3.9888055324554443,300,300,26588,8,4,1
739.234735486805,13.755668878555298,8.735642671585083,4.99934458732605,400,400,26588,8,4,1
869.0833930599945,20.064404487609863,13.316216230392456,6.727488279342651,500,500,26588,8,4,1
278.26888034367795,6.0818657875061035,4.841675281524658,1.2198691368103027,100,100,26588,8,4,1
451.084335733421,8.883999586105347,6.173273324966431,2.6902525424957275,200,200,26588,8,4,1
602.6761376289946,12.052696704864502,8.028383255004883,4.00364875793457,300,300,26588,8,4,1
738.9797969071514,15.693979024887085,10.534591436386108,5.138813734054565,400,400,26588,8,4,1
869.3576002877768,23.176218509674072,16.295340538024902,6.860187530517578,500,500,26588,8,4,1
278.1047842216914,6.1828391551971436,4.866751670837402,1.295536994934082,100,100,26588,8,4,1
451.084335733421,8.731104612350464,5.998862266540527,2.7114264965057373,200,200,26588,8,4,1
601.9093103940468,12.50969386100769,8.426639318466187,4.062222480773926,300,300,26588,8,4,1
740.3811581378893,15.5504732131958,10.48719072341919,5.042399644851685,400,400,26588,8,4,1
869.0833930599945,20.96826934814453,14.203540563583374,6.743997097015381,500,500,26588,8,4,1
278.26888034367795,6.191894769668579,4.9515767097473145,1.219649314880371,100,100,26588,8,4,1
451.679962611745,8.732117652893066,6.521495580673218,2.189971685409546,200,200,26588,8,4,1
602.5912797241632,13.071308612823486,9.14430570602417,3.9062139987945557,300,300,26588,8,4,1
739.6327418813137,15.502801895141602,10.241938352584839,5.2403175830841064,400,400,26588,8,4,1
868.609651768221,21.15495538711548,14.132161855697632,7.0022149085998535,500,500,26588,8,4,1
277.93955693373385,6.005790710449219,4.748002767562866,1.2375123500823975,100,100,26588,8,4,1
451.084335733421,8.678730487823486,5.968981027603149,2.6890006065368652,200,200,26588,8,4,1
602.6761376289946,12.893969058990479,8.825425148010254,4.047884941101074,300,300,26588,8,4,1
739.234735486805,13.858559131622314,8.8406822681427,4.997354030609131,400,400,26588,8,4,1
869.0833930599945,23.746490478515625,16.96086859703064,6.765122890472412,500,500,26588,8,4,1
