f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
10879.580793997868,127.19277119636536,0,0,100,100,17432,8,4,1
13731.733976982629,207.76252007484436,0,0,200,200,17432,8,4,1
15483.369092813562,283.1690745353699,0,0,300,300,17432,8,4,1
16775.017007116538,358.8884844779968,0,0,400,400,17432,8,4,1
17779.581831669722,428.4468717575073,0,0,500,500,17432,8,4,1
10837.598621625475,126.76068162918091,0,0,100,100,17432,8,4,1
13723.547146554914,206.27622270584106,0,0,200,200,17432,8,4,1
15432.70444972535,280.65074276924133,0,0,300,300,17432,8,4,1
16767.338900118186,358.06032514572144,0,0,400,400,17432,8,4,1
17744.43647214582,428.4199640750885,0,0,500,500,17432,8,4,1
10841.463178775914,129.1105465888977,0,0,100,100,17432,8,4,1
13744.093724804545,207.29320168495178,0,0,200,200,17432,8,4,1
15503.627431547435,282.2361590862274,0,0,300,300,17432,8,4,1
16768.942052197133,355.2996835708618,0,0,400,400,17432,8,4,1
17767.419039087938,428.4251494407654,0,0,500,500,17432,8,4,1
10868.555427278825,128.32175588607788,0,0,100,100,17432,8,4,1
13740.99789577772,206.76337933540344,0,0,200,200,17432,8,4,1
15512.997805968182,283.6380455493927,0,0,300,300,17432,8,4,1
16755.239171591104,361.32527232170105,0,0,400,400,17432,8,4,1
17777.39496569936,428.5557601451874,0,0,500,500,17432,8,4,1
10832.66275587419,128.11451196670532,0,0,100,100,17432,8,4,1
13754.47261459695,206.57270550727844,0,0,200,200,17432,8,4,1
15485.951662937974,283.5968978404999,0,0,300,300,17432,8,4,1
16728.958212570382,359.88029503822327,0,0,400,400,17432,8,4,1
17764.648014441325,430.48613929748535,0,0,500,500,17432,8,4,1
