f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
9211.786893999999,1.653141975402832,1.639777421951294,0.005614280700683594,37,100,10000,8,4,1
9239.294088,2.534710645675659,2.5197975635528564,0.007144451141357422,49,200,10000,8,4,1
9252.599261,3.333207130432129,3.3169000148773193,0.008549928665161133,59,300,10000,8,4,1
9273.895395,3.6438345909118652,3.626070499420166,0.00993657112121582,73,400,10000,8,4,1
9282.438346,3.73734450340271,3.717878580093384,0.01186227798461914,88,500,10000,8,4,1
9216.200096,1.696723222732544,1.683368444442749,0.00545811653137207,37,100,10000,8,4,1
9248.69684,2.5938735008239746,2.5782182216644287,0.007824182510375977,54,200,10000,8,4,1
9258.519427,3.3963699340820312,3.3787760734558105,0.009867191314697266,64,300,10000,8,4,1
9267.931126,3.7696919441223145,3.7515978813171387,0.01004791259765625,73,400,10000,8,4,1
9277.200949,3.8869450092315674,3.8676886558532715,0.01148080825805664,84,500,10000,8,4,1
9210.089713,1.6751160621643066,1.6622209548950195,0.005117654800415039,34,100,10000,8,4,1
9242.180893,2.54948091506958,2.5347790718078613,0.007086992263793945,49,200,10000,8,4,1
9258.024613000001,3.3758068084716797,3.359855890274048,0.008319616317749023,61,300,10000,8,4,1
9270.706486,3.8155994415283203,3.797332525253296,0.010579347610473633,76,400,10000,8,4,1
9275.706467,3.9086225032806396,3.889766216278076,0.011083364486694336,82,500,10000,8,4,1
9214.340581,1.656419277191162,1.6432244777679443,0.005404949188232422,36,100,10000,8,4,1
9237.200729,2.576587677001953,2.5616519451141357,0.0073375701904296875,50,200,10000,8,4,1
9252.070873,3.3310608863830566,3.3150200843811035,0.008403539657592773,60,300,10000,8,4,1
9275.293823999998,3.5240678787231445,3.505216121673584,0.011311769485473633,75,400,10000,8,4,1
9287.223965,3.6345205307006836,3.6146140098571777,0.012265205383300781,93,500,10000,8,4,1
9215.722928,1.6912307739257812,1.6775970458984375,0.005856990814208984,37,100,10000,8,4,1
9235.521552,2.5783443450927734,2.5638532638549805,0.006840229034423828,48,200,10000,8,4,1
9250.990264,3.3230936527252197,3.3072080612182617,0.008177518844604492,58,300,10000,8,4,1
9267.59437,3.4750845432281494,3.457099437713623,0.010239124298095703,74,400,10000,8,4,1
9280.435659,3.580150842666626,3.5603599548339844,0.012152433395385742,90,500,10000,8,4,1
