f_of_S,Time,SolSize,k,n,nNodes,nThreads,trial
9113.740508,2.1554067134857178,11,100,10000,8,4,1
9168.976698,4.0632359981536865,16,200,10000,8,4,1
9200.523314999999,7.470599889755249,22,300,10000,8,4,1
9204.924268,11.692257165908813,24,400,10000,8,4,1
9218.586293,14.304558992385864,28,500,10000,8,4,1
9143.527611000001,2.939939022064209,16,100,10000,8,4,1
9169.073927,3.958744525909424,15,200,10000,8,4,1
9196.5191,7.2699244022369385,19,300,10000,8,4,1
9216.631415,11.900221586227417,26,400,10000,8,4,1
9234.341151,14.502667427062988,32,500,10000,8,4,1
9152.49546,2.3374059200286865,14,100,10000,8,4,1
9161.564698,4.619361162185669,16,200,10000,8,4,1
9171.432988999999,7.325527191162109,18,300,10000,8,4,1
9199.791775,11.937769651412964,26,400,10000,8,4,1
9223.678237,14.706191062927246,29,500,10000,8,4,1
9160.042983,2.2563252449035645,14,100,10000,8,4,1
9163.507293,4.124626874923706,15,200,10000,8,4,1
9184.388747,7.573312520980835,17,300,10000,8,4,1
9223.048905,12.279663324356079,30,400,10000,8,4,1
9224.012965,16.08971357345581,34,500,10000,8,4,1
9151.570755,2.4725747108459473,14,100,10000,8,4,1
9160.75297,4.61358118057251,19,200,10000,8,4,1
9194.801386,7.191537141799927,19,300,10000,8,4,1
9206.274096000001,12.003846406936646,24,400,10000,8,4,1
9214.204536,14.282324075698853,26,500,10000,8,4,1
