f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
10791.945509371795,6.517283916473389,4.794742822647095,1.708745002746582,100,100,17432,8,4,1
13628.70551974845,10.496342897415161,6.939476251602173,3.543163299560547,200,200,17432,8,4,1
15278.780052448265,13.995043277740479,8.441574573516846,5.539836883544922,300,300,17432,8,4,1
16682.907245583527,17.20663571357727,9.8771812915802,7.315972805023193,400,400,17432,8,4,1
17696.42772858613,20.68144130706787,11.551392793655396,9.116698265075684,500,500,17432,8,4,1
10829.42216344709,6.520835876464844,4.768683671951294,1.7382984161376953,100,100,17432,8,4,1
13647.68669662726,10.66034746170044,6.99155592918396,3.6550190448760986,200,200,17432,8,4,1
15364.498512931725,14.294034719467163,8.84015965461731,5.440356492996216,300,300,17432,8,4,1
16691.894581257213,17.206233978271484,9.956254482269287,7.236443996429443,400,400,17432,8,4,1
17646.41411694547,20.912244081497192,11.486710548400879,9.412009000778198,500,500,17432,8,4,1
10766.52041675192,6.668622732162476,4.913946628570557,1.7410330772399902,100,100,17432,8,4,1
13697.648371941003,10.267902374267578,6.785341024398804,3.4689536094665527,200,200,17432,8,4,1
15266.102982385324,14.121208190917969,8.471368312835693,5.636312246322632,300,300,17432,8,4,1
16616.625268162956,17.939777135849,10.408304691314697,7.518078804016113,400,400,17432,8,4,1
17719.13597864629,21.289716720581055,11.921277046203613,9.355018377304077,500,500,17432,8,4,1
10823.380670818522,6.471683740615845,4.78827977180481,1.669802188873291,100,100,17432,8,4,1
13644.529254956176,10.237478971481323,6.697084665298462,3.5269246101379395,200,200,17432,8,4,1
15382.684090715315,13.854001998901367,8.46578598022461,5.374905586242676,300,300,17432,8,4,1
16754.736461117496,17.448023080825806,10.17713975906372,7.257431745529175,400,400,17432,8,4,1
17630.644328398124,20.588449239730835,11.449628591537476,9.125606536865234,500,500,17432,8,4,1
10779.345595967035,6.527057647705078,4.83426308631897,1.6790497303009033,100,100,17432,8,4,1
13696.526240451876,10.287222385406494,6.665168285369873,3.6083502769470215,200,200,17432,8,4,1
15286.762687313212,13.857281684875488,8.405328035354614,5.438495397567749,300,300,17432,8,4,1
16571.295513126257,17.610594272613525,10.343901872634888,7.25322961807251,400,400,17432,8,4,1
17672.941769575285,21.083592891693115,11.949505805969238,9.120604991912842,500,500,17432,8,4,1
