f_of_S,Time,SolSize,k,n,nNodes,nThreads,trial
26493,14.397155523300171,100,100,100000,8,4,1
35706,15.015933990478516,200,200,100000,8,4,1
41858,15.60966444015503,300,300,100000,8,4,1
46495,16.485299110412598,400,400,100000,8,4,1
50270,17.335343837738037,500,500,100000,8,4,1
26493,14.50679874420166,100,100,100000,8,4,1
35711,15.122329235076904,200,200,100000,8,4,1
41857,15.773796081542969,300,300,100000,8,4,1
46495,16.581278085708618,400,400,100000,8,4,1
50260,17.44592308998108,500,500,100000,8,4,1
26491,14.568109512329102,100,100,100000,8,4,1
35709,15.34127163887024,200,200,100000,8,4,1
41858,15.954750061035156,300,300,100000,8,4,1
46497,16.717461347579956,400,400,100000,8,4,1
50270,17.630395650863647,500,500,100000,8,4,1
26495,14.406766414642334,100,100,100000,8,4,1
35711,15.114788293838501,200,200,100000,8,4,1
41858,15.948855876922607,300,300,100000,8,4,1
46505,16.37032437324524,400,400,100000,8,4,1
50267,17.440601587295532,500,500,100000,8,4,1
26489,14.710493087768555,100,100,100000,8,4,1
35714,15.320616483688354,200,200,100000,8,4,1
41857,15.899547338485718,300,300,100000,8,4,1
46505,16.622287273406982,400,400,100000,8,4,1
50263,17.729809999465942,500,500,100000,8,4,1
