f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
9122.596631,285.2581436634064,280.25185108184814,4.998507738113403,9,100,10000,8,4,1
9113.764351,345.85499715805054,338.0901906490326,7.757172346115112,11,200,10000,8,4,1
9140.065821,392.9672167301178,382.3121700286865,10.647395849227905,10,300,10000,8,4,1
9158.432269,423.7592945098877,410.4523756504059,13.299298286437988,15,400,10000,8,4,1
9167.759474,469.84656953811646,454.12552404403687,15.71337628364563,19,500,10000,8,4,1
9107.985696,287.8368704319,282.904559135437,4.924054384231567,10,100,10000,8,4,1
9137.506147,360.3216083049774,352.3282091617584,7.98576807975769,12,200,10000,8,4,1
9143.476016,401.0462296009064,390.3866295814514,10.651930093765259,16,300,10000,8,4,1
9163.495443,444.3681013584137,430.9497957229614,13.41064977645874,13,400,10000,8,4,1
9177.815325,485.69164967536926,469.86341881752014,15.820619344711304,19,500,10000,8,4,1
9110.704935,295.4694576263428,290.6678874492645,4.793758869171143,8,100,10000,8,4,1
9135.298746,349.471773147583,341.23461079597473,8.22950792312622,11,200,10000,8,4,1
9144.425002,401.5454361438751,390.56703543663025,10.970758199691772,11,300,10000,8,4,1
9161.085734,439.9911332130432,426.4970543384552,13.486429214477539,17,400,10000,8,4,1
9164.582969,475.2159161567688,459.44952964782715,15.75868844985962,18,500,10000,8,4,1
9137.241979999999,304.14778661727905,299.33700609207153,4.802976369857788,10,100,10000,8,4,1
9143.050188,376.96923565864563,369.09139919281006,7.870062589645386,13,200,10000,8,4,1
9130.197807,413.31036615371704,402.95805263519287,10.344610691070557,12,300,10000,8,4,1
9169.412556,462.87011218070984,449.7195792198181,13.142775297164917,14,400,10000,8,4,1
9165.222661,501.9301917552948,485.82938599586487,16.093096017837524,17,500,10000,8,4,1
9099.261384,273.1459927558899,268.22866654396057,4.909552335739136,7,100,10000,8,4,1
9121.644167,340.64363527297974,332.68310022354126,7.952907085418701,7,200,10000,8,4,1
9146.801627,383.01105189323425,372.3534462451935,10.649977445602417,11,300,10000,8,4,1
9159.218338,416.7551734447479,403.2651994228363,13.482382535934448,14,400,10000,8,4,1
9154.850077,460.3561601638794,444.6351273059845,15.713419198989868,15,500,10000,8,4,1
