f_of_S,Time,SolSize,k,n,nNodes,nThreads,trial
278.6043670654511,3.328242540359497,100,100,26588,8,4,1
453.43181038437393,3.665315866470337,200,200,26588,8,4,1
605.029506515006,3.957965612411499,300,300,26588,8,4,1
743.0843154698291,4.269914150238037,400,400,26588,8,4,1
872.9284331960108,4.593011140823364,500,500,26588,8,4,1
278.61345901812086,3.384568691253662,100,100,26588,8,4,1
453.5831422485173,3.5994386672973633,200,200,26588,8,4,1
604.7914937444907,3.9341588020324707,300,300,26588,8,4,1
743.0901757620486,4.281108379364014,400,400,26588,8,4,1
872.7310240739978,4.571510314941406,500,500,26588,8,4,1
278.600237018642,3.463822841644287,100,100,26588,8,4,1
453.41700748573265,3.660792350769043,200,200,26588,8,4,1
604.826002596314,4.033672332763672,300,300,26588,8,4,1
743.1434822109854,4.3339667320251465,400,400,26588,8,4,1
872.8541759208634,4.65179181098938,500,500,26588,8,4,1
278.6201589116463,3.315535068511963,100,100,26588,8,4,1
453.52735917749146,3.6026971340179443,200,200,26588,8,4,1
605.0179015280748,4.020573139190674,300,300,26588,8,4,1
743.254805910557,4.279425382614136,400,400,26588,8,4,1
873.0952150162096,4.5840003490448,500,500,26588,8,4,1
278.6504207754075,3.376819133758545,100,100,26588,8,4,1
453.328046757099,3.596027374267578,200,200,26588,8,4,1
605.0780255592757,3.963338851928711,300,300,26588,8,4,1
742.801210986253,4.276697158813477,400,400,26588,8,4,1
873.1809463481711,4.593153476715088,500,500,26588,8,4,1
