f_of_S,Time,SolSize,k,n,nNodes,nThreads,trial
11085.72832140716,3.177670955657959,100,100,17432,8,4,1
14042.172544708983,3.874840259552002,200,200,17432,8,4,1
15835.89466287748,4.612268686294556,300,300,17432,8,4,1
17132.879760693002,5.143948554992676,400,400,17432,8,4,1
17865.25162155707,5.687272548675537,468,500,17432,8,4,1
11085.259668840174,3.140768051147461,100,100,17432,8,4,1
14044.769933229183,3.960698366165161,200,200,17432,8,4,1
15837.455417351024,4.688994884490967,300,300,17432,8,4,1
17137.745716787875,5.28363299369812,400,400,17432,8,4,1
17820.431891388303,5.609261512756348,463,500,17432,8,4,1
11089.64516288535,3.1185953617095947,100,100,17432,8,4,1
14038.8064979838,3.9148645401000977,200,200,17432,8,4,1
15829.016344856662,4.624297142028809,300,300,17432,8,4,1
17131.249545674407,5.2203404903411865,400,400,17432,8,4,1
17838.107109955195,5.6657562255859375,465,500,17432,8,4,1
11094.85015996965,3.1193814277648926,100,100,17432,8,4,1
14037.834603076022,3.916548252105713,200,200,17432,8,4,1
15834.614708472263,4.695925235748291,300,300,17432,8,4,1
17126.651999073154,5.19535493850708,400,400,17432,8,4,1
17873.458175612977,5.675167798995972,468,500,17432,8,4,1
11097.077498697698,3.154540538787842,100,100,17432,8,4,1
14027.846183929447,3.853445529937744,200,200,17432,8,4,1
15835.879132975559,4.572899341583252,300,300,17432,8,4,1
17141.910042847776,5.20658016204834,400,400,17432,8,4,1
18078.993309756883,5.74976658821106,489,500,17432,8,4,1
