f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
278.6044432916198,115.6100914478302,0,0,100,100,26588,8,4,1
452.5402495542538,172.87313532829285,0,0,200,200,26588,8,4,1
603.345925593134,233.950608253479,0,0,300,300,26588,8,4,1
740.8717027693257,281.99700927734375,0,0,400,400,26588,8,4,1
869.9710475234498,351.6147606372833,0,0,500,500,26588,8,4,1
278.6044432916198,117.03302526473999,0,0,100,100,26588,8,4,1
452.5402495542538,178.23251128196716,0,0,200,200,26588,8,4,1
603.7455682630138,239.03807401657104,0,0,300,300,26588,8,4,1
740.8717027693257,291.6558938026428,0,0,400,400,26588,8,4,1
869.9710475234498,367.83700037002563,0,0,500,500,26588,8,4,1
278.6044432916198,117.43546748161316,0,0,100,100,26588,8,4,1
452.5402495542538,178.0077133178711,0,0,200,200,26588,8,4,1
603.4466624740877,238.13337802886963,0,0,300,300,26588,8,4,1
740.8717027693257,292.8535532951355,0,0,400,400,26588,8,4,1
869.9710475234498,361.5078020095825,0,0,500,500,26588,8,4,1
278.6044432916198,116.80817198753357,0,0,100,100,26588,8,4,1
452.5402495542538,178.19556832313538,0,0,200,200,26588,8,4,1
603.5170273797576,238.9838571548462,0,0,300,300,26588,8,4,1
740.8717027693257,292.9244923591614,0,0,400,400,26588,8,4,1
869.7875175898722,362.84417748451233,0,0,500,500,26588,8,4,1
278.6044432916198,116.13340544700623,0,0,100,100,26588,8,4,1
452.5402495542538,175.88356566429138,0,0,200,200,26588,8,4,1
603.4289931667058,236.98144388198853,0,0,300,300,26588,8,4,1
740.8717027693257,287.44677805900574,0,0,400,400,26588,8,4,1
869.9710475234498,363.75310945510864,0,0,500,500,26588,8,4,1
