f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
10137.98012901917,1237.7013125419617,1175.5447435379028,62.14254546165466,96,100,17432,8,4,1
13026.558117065892,1526.88294839859,1394.4975769519806,132.3718285560608,200,200,17432,8,4,1
14461.247240539835,1722.2478847503662,1520.47771692276,201.7565085887909,300,300,17432,8,4,1
15817.744339961788,1869.3240523338318,1569.9682099819183,299.3422362804413,391,400,17432,8,4,1
16731.150732640745,1976.901137828827,1602.9208126068115,373.96676230430603,493,500,17432,8,4,1
9937.149745279476,1272.7095358371735,1208.7378282546997,63.9578742980957,100,100,17432,8,4,1
12903.94147547573,1545.1774213314056,1410.4793076515198,134.6845781803131,199,200,17432,8,4,1
14688.008802567985,1759.0471539497375,1561.7390809059143,197.29446387290955,300,300,17432,8,4,1
15803.397194673833,1885.507111787796,1588.358281135559,297.13512802124023,385,400,17432,8,4,1
16604.657036743407,2015.3907375335693,1648.8070085048676,366.5701389312744,500,500,17432,8,4,1
10236.026739495097,1218.5065050125122,1160.8321583271027,57.660497188568115,100,100,17432,8,4,1
13065.216117679021,1502.9731435775757,1370.0498054027557,132.9100000858307,198,200,17432,8,4,1
14557.52973546295,1709.9678094387054,1500.3081154823303,209.6463475227356,288,300,17432,8,4,1
15669.036795529606,1847.1904091835022,1576.815241098404,270.361585855484,400,400,17432,8,4,1
16579.283500281243,2064.101413011551,1666.5116913318634,397.57615089416504,472,500,17432,8,4,1
10236.297990254232,1265.2377018928528,1212.056645154953,53.16746258735657,97,100,17432,8,4,1
13146.703280858435,1573.8109390735626,1443.9119157791138,129.88566780090332,199,200,17432,8,4,1
14670.960133384706,1778.9560408592224,1581.0765981674194,197.8658561706543,297,300,17432,8,4,1
15719.607239148349,1924.563899755478,1657.5023488998413,267.0480194091797,380,400,17432,8,4,1
16872.137027179102,2003.774398803711,1657.3370950222015,346.42384576797485,494,500,17432,8,4,1
9987.843896584336,1176.0488998889923,1115.6248044967651,60.41011595726013,100,100,17432,8,4,1
12644.80973025753,1463.9480049610138,1333.0857548713684,130.84855484962463,185,200,17432,8,4,1
14181.238991694046,1680.1617443561554,1474.5622799396515,205.58566904067993,273,300,17432,8,4,1
15658.513117582277,1798.5759053230286,1525.485403060913,273.0768747329712,378,400,17432,8,4,1
16648.02302517038,1927.2372875213623,1541.6768844127655,385.54676938056946,500,500,17432,8,4,1
