,app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
0,InfMax,L-Dist-2048,1097.0520584310564,6647.596430063248,120.00860095024107,6525.199012041092,12,13.0,1134890,2048,1,1
0,InfMax,L-Dist-64,1163.291265482853,2498.859142065048,2382.9522140026093,113.69071102142334,13,13.0,1134890,64,1,1
1,InfMax,L-Dist-64,1495.9777555875376,2638.609120130539,2396.183475971222,240.2239022254944,27,27.0,1134890,64,1,1
2,InfMax,L-Dist-64,1934.961781159443,2972.681564092636,2405.9874408245087,564.4790050983429,41,41.0,1134890,64,1,1
0,InfMax,R-DASH,1225.255819880521,64.37286496162415,52.29526114463806,9.836547136306764,13,13.0,1134890,64,32,1
1,InfMax,R-DASH,1727.124718254832,79.13073706626892,58.80215883255005,18.11573886871338,27,27.0,1134890,64,32,1
2,InfMax,R-DASH,2126.5929975447725,94.03404688835144,66.77261900901794,25.042300939559937,41,41.0,1134890,64,32,1
3,InfMax,R-DASH,2472.475695560859,108.9724509716034,73.80144095420837,32.94464898109436,55,55.0,1134890,64,32,1
0,InfMax,RandGreedI-2048,1226.2533076179689,4275.502591848373,141.77073693275452,4131.316937923431,13,13.0,1134890,2048,1,1
0,InfMax,RandGreedI-64,1226.2533076179689,1831.2065510749817,1751.763025045395,77.27809619903564,13,13.0,1134890,64,1,1
1,InfMax,RandGreedI-64,1727.5021837829704,4518.0342400074005,4107.648164987564,408.2182788848877,27,27.0,1134890,64,1,1
0,NetCov,R-DASH,593983.0,716.7938411235809,545.0409100055695,162.27763509750366,61,61.0,5000000,64,32,1
1,NetCov,R-DASH,894278.0,907.453502893448,631.2273941040039,266.81626200675964,122,122.0,5000000,64,32,1
2,NetCov,R-DASH,1108578.0,1103.678966999054,714.974986076355,379.2504980564117,183,183.0,5000000,64,32,1
3,NetCov,R-DASH,1276160.0,1275.9284291267395,766.8498640060425,499.5888409614563,244,244.0,5000000,64,32,1
0,RevMax,R-DASH,467201.3093501112,361.5595090389252,279.339684009552,76.37796401977539,37,37.0,3072441,64,32,1
1,RevMax,R-DASH,639185.9180841229,468.8067569732666,315.6819281578064,147.23454403877258,75,75.0,3072441,64,32,1
2,RevMax,R-DASH,740392.0813473646,568.3928070068359,345.27176308631897,217.3368229866028,112,112.0,3072441,64,32,1
3,RevMax,R-DASH,812091.0648893644,654.6714870929718,378.78142404556274,270.0898869037628,150,150.0,3072441,64,32,1
