app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
InfMax,MEDRG-32-1_14,4.65,44.004502058029175,43.99336504936218,0,4,4,100000,32,1,1
InfMax,MEDRG-32-1_14,9.279900000000003,89.52897810935974,89.51833200454712,0,8,8,100000,32,1,1
InfMax,MEDRG-32-1_14,18.4799,130.47922492027283,130.468847990036,0,16,16,100000,32,1,1
InfMax,MEDRG-32-1_14,36.81980000000001,292.74606800079346,292.7357771396637,0,32,32,100000,32,1,1
InfMax,MEDRG-32-1_14,73.29980000000003,550.8985619544983,550.8884069919586,0,64,64,100000,32,1,1
InfMax,MEDRG-32-1_14,145.65940000000003,1245.4597470760345,1245.44948387146,0,128,128,100000,32,1,1
InfMax,MEDRG-32-1_14,289.7863000000001,2723.402592897415,2723.391714811325,0,256,256,100000,32,1,1
InfMax,MEDRG-32-1_14,576.4914020000001,4748.1282777786255,4748.115190029144,0,512,512,100000,32,1,1
InfMax,MEDRG-32-1_14,1144.8483069999997,7413.298749923706,7413.282096147537,0,1024,1024,100000,32,1,1
InfMax,MEDRG-32-1_14,2273.0812629900006,14274.025364875793,14273.9975066185,0,2048,2048,100000,32,1,1
