app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
NetCov,MEDRG-32-1,4114,18.96651816368103,18.955715894699097,0,4,4,100000,32,1,1
NetCov,MEDRG-32-1,7073,30.38740301132202,30.37726593017578,0,8,8,100000,32,1,1
NetCov,MEDRG-32-1,10733,60.374496936798096,60.36405611038208,0,16,16,100000,32,1,1
NetCov,MEDRG-32-1,15476,121.88296508789062,121.87301516532898,0,32,32,100000,32,1,1
NetCov,MEDRG-32-1,21717,316.30160999298096,316.2915599346161,0,64,64,100000,32,1,1
NetCov,MEDRG-32-1,29503,857.0807139873505,857.0703938007355,0,128,128,100000,32,1,1
NetCov,MEDRG-32-1,39406,1907.0839681625366,1907.0713329315186,0,256,256,100000,32,1,1
NetCov,MEDRG-32-1,50693,4016.652461051941,4016.6362013816833,0,512,512,100000,32,1,1
NetCov,MEDRG-32-1,63363,8300.537207126617,8300.518598794937,0,1024,1024,100000,32,1,1
NetCov,MEDRG-32-1,76822,15810.903589010239,15810.880355596542,0,2048,2048,100000,32,1,1
