app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
RevMax,MEDRG-32-1_25,48.0,20.95805311203003,20.947082996368408,0,4,4,100000,32,1,1
RevMax,MEDRG-32-1_25,96.0,35.4401798248291,35.42999196052551,0,8,8,100000,32,1,1
RevMax,MEDRG-32-1_25,192.0,49.71238398551941,49.70268201828003,0,16,16,100000,32,1,1
RevMax,MEDRG-32-1_25,380.0,96.53932809829712,96.52914094924927,0,32,32,100000,32,1,1
RevMax,MEDRG-32-1_25,732.0,224.37030792236328,224.36016392707825,0,64,64,100000,32,1,1
RevMax,MEDRG-32-1_25,1436.0,579.8463521003723,579.8363702297211,0,128,128,100000,32,1,1
RevMax,MEDRG-32-1_25,2844.0,1208.8874740600586,1208.8770499229431,0,256,256,100000,32,1,1
RevMax,MEDRG-32-1_25,5660.0,2768.7232010364532,2768.7114028930664,0,512,512,100000,32,1,1
RevMax,MEDRG-32-1_25,11292.0,5772.695672035217,5772.677916526794,0,1024,1024,100000,32,1,1
RevMax,MEDRG-32-1_25,22556.0,11905.62200307846,11905.591663360596,0,2048,2048,100000,32,1,1
RevMax,MEDRG-32-1_25,33664.12978122447,18895.514616012573,18895.481354236603,0,3125,3125,100000,32,1,1
