,app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
0,InfMax,MED+RG,4.65,41.6307590007782,41.62039089202881,0.0,4,4,100000,32,1,1
1,InfMax,MED+RG,9.279900000000003,74.14531397819519,74.13524317741394,0.0,8,8,100000,32,1,1
2,InfMax,MED+RG,18.479900000000004,137.57763695716858,137.56788301467896,0.0,16,16,100000,32,1,1
3,InfMax,MED+RG,36.8198,289.7038559913635,289.6935789585113,0.0,32,32,100000,32,1,1
4,InfMax,MED+RG,73.2998,552.2768709659576,552.2669849395752,0.0,64,64,100000,32,1,1
5,InfMax,MED+RG,145.6594,1167.281553030014,1167.2697939872742,0.0,128,128,100000,32,1,1
6,InfMax,MED+RG,289.7863000000001,2424.38676905632,2424.376510858536,0.0,256,256,100000,32,1,1
7,InfMax,MED+RG,576.491302,4150.42952299118,4150.413860321045,0.0,512,512,100000,32,1,1
8,InfMax,MED+RG,1144.8488080000002,6385.495383024216,6385.480129480362,0.0,1024,1024,100000,32,1,1
9,InfMax,MED+RG,2273.1319599900003,12435.27674984932,12435.24655532837,0.0,2048,2048,100000,32,1,1
0,InfMax,MED+RG,4.65,44.004502058029175,43.99336504936218,0.0,4,4,100000,32,1,1
1,InfMax,MED+RG,9.279900000000003,89.52897810935974,89.51833200454712,0.0,8,8,100000,32,1,1
2,InfMax,MED+RG,18.4799,130.47922492027283,130.468847990036,0.0,16,16,100000,32,1,1
3,InfMax,MED+RG,36.81980000000001,292.74606800079346,292.7357771396637,0.0,32,32,100000,32,1,1
4,InfMax,MED+RG,73.29980000000003,550.8985619544983,550.8884069919586,0.0,64,64,100000,32,1,1
5,InfMax,MED+RG,145.65940000000003,1245.4597470760343,1245.44948387146,0.0,128,128,100000,32,1,1
6,InfMax,MED+RG,289.7863000000001,2723.402592897415,2723.391714811325,0.0,256,256,100000,32,1,1
7,InfMax,MED+RG,576.4914020000001,4748.1282777786255,4748.115190029144,0.0,512,512,100000,32,1,1
8,InfMax,MED+RG,1144.8483069999995,7413.298749923706,7413.282096147537,0.0,1024,1024,100000,32,1,1
9,InfMax,MED+RG,2273.0812629900006,14274.025364875792,14273.9975066185,0.0,2048,2048,100000,32,1,1
0,InfMax,MED+RG,4.65,42.85162711143494,42.84097599983215,0.0,4,4,100000,32,1,1
1,InfMax,MED+RG,9.2799,89.76432299613953,89.75396490097046,0.0,8,8,100000,32,1,1
2,InfMax,MED+RG,18.479900000000004,132.64684510231018,132.63704895973206,0.0,16,16,100000,32,1,1
3,InfMax,MED+RG,36.81980000000001,331.1137800216675,331.1036939620972,0.0,32,32,100000,32,1,1
4,InfMax,MED+RG,73.2998,576.1484041213989,576.1379280090332,0.0,64,64,100000,32,1,1
5,InfMax,MED+RG,145.65940000000003,1341.7246968746183,1341.7148880958557,0.0,128,128,100000,32,1,1
6,InfMax,MED+RG,289.77650000000006,2484.578106880188,2484.5642018318176,0.0,256,256,100000,32,1,1
7,InfMax,MED+RG,576.4815020000001,4564.550606966019,4564.533581733704,0.0,512,512,100000,32,1,1
8,InfMax,MED+RG,1144.8290070000005,7571.931219100952,7571.916243553162,0.0,1024,1024,100000,32,1,1
9,InfMax,MED+RG,2273.1125599900006,13470.313508987429,13470.287988901138,0.0,2048,2048,100000,32,1,1
0,InfMax,MED+RG,4.65,43.0538649559021,43.04255890846253,0.0,4,4,100000,32,1,1
1,InfMax,MED+RG,9.2799,77.34429407119751,77.33411288261414,0.0,8,8,100000,32,1,1
2,InfMax,MED+RG,18.479900000000004,134.74138498306274,134.73147702217102,0.0,16,16,100000,32,1,1
3,InfMax,MED+RG,36.81980000000001,305.41767597198486,305.40761494636536,0.0,32,32,100000,32,1,1
4,InfMax,MED+RG,73.29980000000003,615.4918658733368,615.4814701080322,0.0,64,64,100000,32,1,1
5,InfMax,MED+RG,145.65940000000003,1094.4757809638977,1094.4653961658478,0.0,128,128,100000,32,1,1
6,InfMax,MED+RG,289.7863,2386.284457921982,2386.272367954254,0.0,256,256,100000,32,1,1
7,InfMax,MED+RG,576.4916020000001,4191.279257059097,4191.1607830524445,0.0,512,512,100000,32,1,1
8,InfMax,MED+RG,1144.8480070000005,6456.602035999298,6456.582687854767,0.0,1024,1024,100000,32,1,1
9,InfMax,MED+RG,2273.0815629900003,12316.430730104446,12316.407076358795,0.0,2048,2048,100000,32,1,1
0,InfMax,MED+RG,4.65,42.756340980529785,42.74531412124634,0.0,4,4,100000,32,1,1
1,InfMax,MED+RG,9.2799,88.49950003623962,88.48918986320496,0.0,8,8,100000,32,1,1
2,InfMax,MED+RG,18.479900000000004,149.51745581626892,149.50741004943848,0.0,16,16,100000,32,1,1
3,InfMax,MED+RG,36.8198,294.18364000320435,294.1706700325012,0.0,32,32,100000,32,1,1
4,InfMax,MED+RG,73.2998,580.9530560970306,580.9365031719208,0.0,64,64,100000,32,1,1
5,InfMax,MED+RG,145.65940000000003,1449.8525149822235,1449.8349528312683,0.0,128,128,100000,32,1,1
6,InfMax,MED+RG,289.77650000000006,2501.269958972931,2501.255452871322,0.0,256,256,100000,32,1,1
7,InfMax,MED+RG,576.481302,4138.453371047974,4138.263773441315,0.0,512,512,100000,32,1,1
8,InfMax,MED+RG,1144.8288070000003,6563.130860090256,6563.115166187286,0.0,1024,1024,100000,32,1,1
9,InfMax,MED+RG,2273.0732559900007,13646.284853935242,13646.232622385023,0.0,2048,2048,100000,32,1,1
0,InfMax,RandGreedI,4.65,41.6118860244751,39.70170283317566,1.7185649871826172,4,4,100000,32,1,1
1,InfMax,RandGreedI,9.279900000000003,74.27162003517151,68.23402690887451,5.8507609367370605,8,8,100000,32,1,1
2,InfMax,RandGreedI,18.479900000000004,137.1565978527069,120.3071620464325,16.662683963775635,16,16,100000,32,1,1
3,InfMax,RandGreedI,36.8198,289.6460440158844,240.98981308937076,48.469542026519775,32,32,100000,32,1,1
4,InfMax,RandGreedI,73.2998,551.1108989715576,433.30517196655273,117.6178150177002,64,64,100000,32,1,1
5,InfMax,RandGreedI,145.65940000000003,1463.218554019928,710.3893389701843,752.6427700519562,128,128,100000,32,1,1
6,InfMax,RandGreedI,289.7863000000001,5117.748104095459,1118.2177939414978,3999.343332052231,256,256,100000,32,1,1
7,InfMax,RandGreedI,576.481202,12213.203140974045,1648.7740168571472,10564.242522001266,512,512,100000,32,1,1
0,InfMax,RandGreedI,4.65,43.80687594413757,41.84562587738037,1.768432855606079,4,4,100000,32,1,1
1,InfMax,RandGreedI,9.279900000000003,89.49793601036072,83.4670090675354,5.842839956283569,8,8,100000,32,1,1
2,InfMax,RandGreedI,18.4799,130.43825888633728,118.69796299934389,11.552047967910768,16,16,100000,32,1,1
3,InfMax,RandGreedI,36.81980000000001,283.2914209365845,219.57933282852173,63.52048206329346,32,32,100000,32,1,1
4,InfMax,RandGreedI,73.29980000000003,549.0424420833588,411.22877502441406,137.62205505371094,64,64,100000,32,1,1
5,InfMax,RandGreedI,145.6594,1145.2622139453888,663.5271179676056,481.5441160202026,128,128,100000,32,1,1
6,InfMax,RandGreedI,289.7863000000001,3785.7367861270905,1137.0839529037476,2648.464231014252,256,256,100000,32,1,1
7,InfMax,RandGreedI,576.4916020000001,10457.784684181212,1851.5550310611725,8606.042623996735,512,512,100000,32,1,1
0,InfMax,RandGreedI,4.65,42.76965403556824,40.7570230960846,1.823004961013794,4,4,100000,32,1,1
1,InfMax,RandGreedI,9.2799,90.07080006599426,86.54028010368347,3.338776111602783,8,8,100000,32,1,1
2,InfMax,RandGreedI,18.479900000000004,133.18918704986572,121.37959599494934,11.620699167251589,16,16,100000,32,1,1
3,InfMax,RandGreedI,36.81980000000001,330.0750241279602,286.5228719711304,43.36382818222046,32,32,100000,32,1,1
4,InfMax,RandGreedI,73.2998,570.5189919471741,381.58151412010193,188.7469038963318,64,64,100000,32,1,1
5,InfMax,RandGreedI,145.65940000000003,1272.6696150302887,687.674073934555,584.8034110069275,128,128,100000,32,1,1
6,InfMax,RandGreedI,289.7764,3791.822662830353,1143.4137330055237,2648.215987920761,256,256,100000,32,1,1
7,InfMax,RandGreedI,576.481402,12173.529528141022,1735.7354781627655,10437.603876113892,512,512,100000,32,1,1
0,InfMax,RandGreedI,4.65,42.746833086013794,40.82930397987366,1.725106954574585,4,4,100000,32,1,1
1,InfMax,RandGreedI,9.2799,76.93800401687622,73.3963611125946,3.3536078929901123,8,8,100000,32,1,1
2,InfMax,RandGreedI,18.479900000000004,134.01640009880066,122.1978840827942,11.628626108169556,16,16,100000,32,1,1
3,InfMax,RandGreedI,36.81980000000001,308.58794713020325,259.9169888496399,48.47886800765991,32,32,100000,32,1,1
4,InfMax,RandGreedI,73.29980000000003,616.5650329589844,417.1603660583496,199.21258902549744,64,64,100000,32,1,1
5,InfMax,RandGreedI,145.65940000000003,1556.6528840065002,683.4550170898438,873.0102310180664,128,128,100000,32,1,1
6,InfMax,RandGreedI,289.7863000000001,4577.868947982788,1380.9128668308258,3196.766258955002,256,256,100000,32,1,1
7,InfMax,RandGreedI,576.4815020000002,11991.927181005478,1820.9896411895752,10170.750749111176,512,512,100000,32,1,1
0,InfMax,RandGreedI,4.65,42.57695508003235,40.65445613861084,1.7341179847717283,4,4,100000,32,1,1
1,InfMax,RandGreedI,9.2799,88.64701008796692,85.080894947052,3.3745791912078857,8,8,100000,32,1,1
2,InfMax,RandGreedI,18.479900000000004,149.53638792037964,134.9648151397705,14.38240885734558,16,16,100000,32,1,1
3,InfMax,RandGreedI,36.8198,285.54912996292114,246.7559759616852,38.6036229133606,32,32,100000,32,1,1
4,InfMax,RandGreedI,73.2998,567.5464839935303,368.4571359157562,198.8971848487854,64,64,100000,32,1,1
5,InfMax,RandGreedI,145.6594,1362.9244940280914,813.0319910049438,549.7008380889893,128,128,100000,32,1,1
6,InfMax,RandGreedI,289.7764,3367.1317160129547,1361.021275997162,2005.9250099658968,256,256,100000,32,1,1
7,InfMax,RandGreedI,576.4816020000001,10164.320353984833,1839.752930879593,8324.375632047653,512,512,100000,32,1,1
0,NetCov,MED+RG,4114.0,18.96651816368103,18.955715894699097,0.0,4,4,100000,32,1,1
1,NetCov,MED+RG,7073.0,30.38740301132202,30.37726593017578,0.0,8,8,100000,32,1,1
2,NetCov,MED+RG,10733.0,60.374496936798096,60.36405611038208,0.0,16,16,100000,32,1,1
3,NetCov,MED+RG,15476.0,121.88296508789062,121.87301516532898,0.0,32,32,100000,32,1,1
4,NetCov,MED+RG,21717.0,316.30160999298096,316.2915599346161,0.0,64,64,100000,32,1,1
5,NetCov,MED+RG,29503.0,857.0807139873505,857.0703938007355,0.0,128,128,100000,32,1,1
6,NetCov,MED+RG,39406.0,1907.0839681625368,1907.0713329315183,0.0,256,256,100000,32,1,1
7,NetCov,MED+RG,50693.0,4016.652461051941,4016.6362013816833,0.0,512,512,100000,32,1,1
8,NetCov,MED+RG,63363.0,8300.537207126617,8300.518598794937,0.0,1024,1024,100000,32,1,1
9,NetCov,MED+RG,76822.0,15810.90358901024,15810.880355596542,0.0,2048,2048,100000,32,1,1
0,NetCov,MED+RG,4114.0,18.39477515220642,18.38391089439392,0.0,4,4,100000,32,1,1
1,NetCov,MED+RG,7073.0,30.381739854812626,30.371577978134155,0.0,8,8,100000,32,1,1
2,NetCov,MED+RG,10733.0,50.789671182632446,50.77957606315613,0.0,16,16,100000,32,1,1
3,NetCov,MED+RG,15476.0,111.38191103935242,111.37173414230348,0.0,32,32,100000,32,1,1
4,NetCov,MED+RG,21717.0,329.009644985199,328.9997310638428,0.0,64,64,100000,32,1,1
5,NetCov,MED+RG,29503.0,890.6000010967255,890.5898549556732,0.0,128,128,100000,32,1,1
6,NetCov,MED+RG,39406.0,2120.6384398937225,2120.627643823624,0.0,256,256,100000,32,1,1
7,NetCov,MED+RG,50694.0,4224.314877986908,4224.304122924805,0.0,512,512,100000,32,1,1
8,NetCov,MED+RG,63364.0,8441.083266973495,8441.06761598587,0.0,1024,1024,100000,32,1,1
9,NetCov,MED+RG,76816.0,15521.867844104769,15521.844607114792,0.0,2048,2048,100000,32,1,1
0,NetCov,MED+RG,4114.0,18.24420118331909,18.233428955078125,0.0,4,4,100000,32,1,1
1,NetCov,MED+RG,7073.0,31.262875080108643,31.252108812332157,0.0,8,8,100000,32,1,1
2,NetCov,MED+RG,10733.0,61.08319306373596,61.07340216636658,0.0,16,16,100000,32,1,1
3,NetCov,MED+RG,15476.0,109.85862708091736,109.84900212287904,0.0,32,32,100000,32,1,1
4,NetCov,MED+RG,21717.0,319.54218220710754,319.5325241088867,0.0,64,64,100000,32,1,1
5,NetCov,MED+RG,29502.0,883.4945049285889,883.484964132309,0.0,128,128,100000,32,1,1
6,NetCov,MED+RG,39406.0,2078.0388300418854,2078.02894282341,0.0,256,256,100000,32,1,1
7,NetCov,MED+RG,50692.0,4470.502684116364,4470.492013931274,0.0,512,512,100000,32,1,1
8,NetCov,MED+RG,63364.0,8689.124736070633,8689.043111801147,0.0,1024,1024,100000,32,1,1
9,NetCov,MED+RG,76830.0,15907.963489055634,15907.94294309616,0.0,2048,2048,100000,32,1,1
0,NetCov,MED+RG,4114.0,29.79544186592102,29.78498601913452,0.0,4,4,100000,32,1,1
1,NetCov,MED+RG,7073.0,31.486997842788696,31.47648000717163,0.0,8,8,100000,32,1,1
2,NetCov,MED+RG,10733.0,62.7667760848999,62.75667405128479,0.0,16,16,100000,32,1,1
3,NetCov,MED+RG,15476.0,121.3802080154419,121.3698079586029,0.0,32,32,100000,32,1,1
4,NetCov,MED+RG,21717.0,308.534038066864,308.5241370201111,0.0,64,64,100000,32,1,1
5,NetCov,MED+RG,29503.0,899.8532478809357,899.8433248996735,0.0,128,128,100000,32,1,1
6,NetCov,MED+RG,39406.0,2025.381519794464,2025.37082195282,0.0,256,256,100000,32,1,1
7,NetCov,MED+RG,50692.0,4130.864192008972,4130.853244781494,0.0,512,512,100000,32,1,1
8,NetCov,MED+RG,63361.0,8526.301537036896,8526.285893917084,0.0,1024,1024,100000,32,1,1
9,NetCov,MED+RG,76824.0,16113.21582198143,16113.187304258348,0.0,2048,2048,100000,32,1,1
0,NetCov,MED+RG,4114.0,19.01778197288513,19.00052499771118,0.0,4,4,100000,32,1,1
1,NetCov,MED+RG,7073.0,32.37511491775513,32.358559131622314,0.0,8,8,100000,32,1,1
2,NetCov,MED+RG,10733.0,52.57694911956787,52.56083679199219,0.0,16,16,100000,32,1,1
3,NetCov,MED+RG,15476.0,127.77126598358154,127.75509786605836,0.0,32,32,100000,32,1,1
4,NetCov,MED+RG,21717.0,328.4394748210907,328.4230191707611,0.0,64,64,100000,32,1,1
5,NetCov,MED+RG,29502.0,905.576602935791,905.5584700107574,0.0,128,128,100000,32,1,1
6,NetCov,MED+RG,39406.0,2102.8583920001984,2102.8474836349487,0.0,256,256,100000,32,1,1
7,NetCov,MED+RG,50694.0,4104.527808189392,4104.516997337341,0.0,512,512,100000,32,1,1
8,NetCov,MED+RG,63365.0,8087.817765951157,8087.802656173706,0.0,1024,1024,100000,32,1,1
